Depth,Name,Reference,Coverage_Result,Description,Metric_Type,Item,Owner,Priority,Milestone,Weight,Goal,Issue,Comment,Tag
0,hmac,,,,dut_name,,,,,,,,,
1,technical_specification,,,https://opentitan.org/book/hw/ip/hmac/index.html,section_title,,,,,,,,,
2,overview,,,,section_title,,,,,,,,,
3,comportability,req_hmac_0001,,This module conforms to the comportability doc/contributing/hw/comportability/README.md,inspection,,Martin,,,,,,,
3,features,,,,section_title,,,,,,,,,
4,mode_sha2_hmac,req_hmac_0002,,Two modes: SHA-2 | HMAC based on SHA-2,functional,rd_digest_during_hmac_en_cg,Martin,,,,,,,
4,digest_size,req_hmac_0003,,Multiple digest sizes supported (for both modes): SHA-2 256/384/512 hashing algorithm,functional,cfg_cg.digest_size,Martin,,,,,,,
4,key_length,req_hmac_0004,,Configurable key length 128/256/384/512/1024-bit secret key for HMAC mode,functional,cfg_cg.key_length,Martin,,,,,,,
4,context_switching,req_hmac_0005,,Support for context switching (via saving and restoring) across multiple message streams,functional,save_and_restore_cg,Martin,,,,,,,
4,message_fifo_size,req_hmac_0006,,32 x 32-bit message FIFO buffer,formal,TODO,Martin,,,,,,,
3,description,,,,section_title,,,,,,,,,
4,sha2_spec,req_hmac_0007,,The HMAC module is a SHA-2 hash-based (see: NIST),"testcase, testcase","hmac_test_vectors_sha, hmac_test_vectors_hmac",Martin,,,,,,Test against NIST vectors,
4,sha2_256,req_hmac_0003,,It supports SHA-2 256/384/512,functional,cfg_cg.digest_size.sha2_256,Martin,,,,,,,
4,sha2_384,req_hmac_0003,,It supports SHA-2 256/384/512,functional,cfg_cg.digest_size.sha2_384,Somebody else,,,,,,,
4,sha2_512,req_hmac_0003,,It supports SHA-2 256/384/512,functional,cfg_cg.digest_size.sha2_512,Martin,,,,,,,
4,key_128,req_hmac_0004,,It supports 128/256/512/1024-bit keys in HMAC mode,functional,cfg_cg.key_length.key_128,Martin,,,,,,,
4,key_256,req_hmac_0004,,It supports 128/256/512/1024-bit keys in HMAC mode,functional,cfg_cg.key_length.key_256,Martin,,,,,,,
4,key_512,req_hmac_0004,,It supports 128/256/512/1024-bit keys in HMAC mode,functional,cfg_cg.key_length.key_512,Martin,,,,,,,
4,key_2024,req_hmac_0004,,It supports 128/256/512/1024-bit keys in HMAC mode,functional,cfg_cg.key_length.key_1024,Martin,,,,,,,
4,sha2_x_keys,"req_hmac_0003, req_hmac_0004, req_hmac_0014",,Test all SHA2 with all the key length that does not exceed the block size of the configured SHA-2 digest size,functional,cfg_cg.key_length_x_digest_size,Martin,,,,,,,
4,hmac_done_irq,req_hmac_0008,,The `hmac_done` interrupt is raised to report to software that the final digest is available.,"assertion, assertion","TODO, TODO",Martin,,,,,,One assertion can be added to the RTL and another one to the SB when hmac_done read is detected,
4,sha2_only,req_hmac_0002,,"The HMAC IP can run in SHA-2 only mode, whose purpose is to check the correctness of the received message. The same digest registers above are used to hold the final hash result. SHA-2 mode does not use the given secret key. It generates the same result with the same message every time.","functional, functional","cfg_cg.hmac_dis_x_sha_en, wr_key_during_sha_only_cg",Martin,,,,,,,
4,auto_msg_length,req_hmac_0009,,The HMAC IP will calculate the length of the message received between 1 being written to CMD.hash_start and 1 being written to CMD.hash_process.,"functional, functional","msg_len_cg.msg_len_lower_cross, msg_len_cg.msg_len_upper_cross",Martin,,,,,,,
4,wipe_internal_variables,req_hmac_000A,,"Is able to wipe internal variables such as the secret key, intermediate hash results, digest and the internal message scheduling array.",formal,TODO,Martin,,,,,,,
4,wipe_secret,req_hmac_000A,,The software can wipe the secret key by writing a 32-bit random value into WIPE_SECRET register. The internal variables and secret key will be reset to the written value.,"testcase, assertion","hmac_wipe_secret, wipe_secret_a",Martin,,,,,,,
4,wipe_sha2_384_512_modes,req_hmac_000B,,"For SHA-2 384/512 modes that operate on 64-bit words, the 32-bit random value is replicated and concatenated to create the 64-bit value.","testcase, assertion","hmac_wipe_secret, wipe_secret_64bits_a",Martin,,,,,,,
1,theory_of_operation,,,https://opentitan.org/book/hw/ip/hmac/doc/theory_of_operation.html,section_title,,,,,,,,,
2,block_diagram,,,https://opentitan.org/book/hw/ip/hmac/doc/theory_of_operation.html#block-diagram,section_title,,,,,,,,,
3,sha2_hash_engine,imp_hmac_0001,,The SHA-2 hash engine is a SHA-2 engine primitive instantiated with the multi-mode feature enabled,formal,TODO,Martin,,,,,,Check the parameter value,
3,sha2_core_fifo_size,imp_hmac_0002,,SHA-2 block contains two time a 8x64-bit size FIFOs (one for the hash and one for the digest),formal,TODO,Martin,,,,,,Check that the 2 FIFOs exist and are the right size,
3,sha2_msg_scheduling_fifo,imp_hmac_0003,,The message scheduling FIFO is not software accessible but is fed from the 32x32b message FIFO seen in the HMAC block diagram via the HMAC core.,formal,TODO,Martin,,,,,,Check that the FIFO exists and is the right size,
3,sha2_msg_padding,req_hmac_000C,,The message words are padded with the message length appended to fit either the 512-bit or 1024-bit block size (depending on the configured digest size),functional,msg_len_cg.msg_len_lower_cp,Martin,,,,,,,
3,blk_512_rounds,req_hmac_000D,,"With the 512-bit block (for SHA-2 256), the compression function runs 64 rounds to calculate the block hash, which is stored in the hash registers above.",functional,cfg_cg.digest_size.sha2_256,Martin,,,,,,Covered by the C model as the returned digest is matching,
3,blk_512_digest,req_hmac_000D,,"After 64 rounds are completed, the SHA-2 256 updates the digest registers with the addition of the hash result and the previous digest registers.",functional,cfg_cg.digest_size.sha2_256,Martin,,,,,,Covered by the C model as the returned digest is matching,
3,blk_1024_rounds,req_hmac_000E,,"With the 1024-bit block (for SHA-2 384/512), the compression function runs 80 rounds instead.","functional, functional","cfg_cg.digest_size.sha2_384, cfg_cg.digest_size.sha2_512",Martin,,,,,,Covered by the C model as the returned digest is matching,
3,blk_1024_digest,req_hmac_000E,,SHA-2 384 is a truncated version of SHA-2 512 where the last 128 bits of the final digest output are truncated to reduce the digest size to 384 bits.,functional,cfg_cg.digest_size.sha2_384,Martin,,,,,,Covered by the C model as the returned digest is matching,
2,design_details,,,https://opentitan.org/book/hw/ip/hmac/doc/theory_of_operation.html#design-details,section_title,,,,,,,,,
3,sha2_message_feed_and_pad,,,https://opentitan.org/book/hw/ip/hmac/doc/theory_of_operation.html#sha-2-message-feed-and-pad,section_title,,,,,,,,,
4,wr_msg_fifo,imp_hmac_0004,,Any write access to the memory-mapped window MSG_FIFO updates the message FIFO.,formal,TODO,Martin,,,,,,,
4,fifo_full_back_pressure,req_hmac_0018,,"If the FIFO is full, the HMAC block will block any writes leading to back-pressure on the interconnect",functional,TODO,Martin,,,,,,Do writes while the FIFO is full,
4,fifo_full_status,imp_hmac_0006,,The FIFO full is available in STATUS register,formal,TODO,Martin,,,,,,,
4,endian_swap,req_hmac_002D,,"When CFG.endian_swap=1, input message is converted from little-endian to big-endian before feeding it to the SHA-2",functional,cfg_cg.endian_swap,Martin,,,,,,,
4,digest_swap,req_hmac_002C,,"When CFG.digest_swap=1, each digest output register is converted to big-endian byte order",functional,cfg_cg.digest_swap,Martin,,,,,,,
4,32bits_words,imp_hmac_0009,,Small writes to MSG_FIFO are coalesced into 32-bit words by the packer logic,functional,TODO,Martin,,,,,,Be sure that small writes have been exercised by adding a fcov,
4,msg_length,req_hmac_0009,,The block also counts the number of bytes that are being passed. This computes the received message length.,"functional, functional","msg_len_cg.msg_len_lower_cp,
msg_len_cg.msg_len_upper_cp",Martin,,,,,,,
4,msg_structure,req_hmac_000C,,"The message must be padded to fill the 512/1024-bit blocks. This is done with an initial **1** bit after the actual message bits, followed by enough **0** padding bits, and then the 64/128-bit message length at the end of the block. The number of **0** padding bits should be enough such that the full block size (512 or 1024 bits) is achieved.",functional,msg_len_cg.msg_len_lower_cp,Martin,,,,,,Covered by the C model,
3,sha2_computation,,,https://opentitan.org/book/hw/ip/hmac/doc/theory_of_operation.html#sha-2-computation,section_title,,,,,,,,,
4,blk_512_word_pad,req_hmac_000D,,"For SHA-2 256, the SHA-2 engine receives 16x32-bit words from the message FIFO or the HMAC core, which get padded into 16x64-bit words for the SHA-2 engine (upper 32 bits of each data word are all-zero padded)",functional,cfg_cg.digest_size.sha2_256,Martin,,,,,,Covered by the C model,
4,blk_512_rounds,req_hmac_000D,,And then begin 64 rounds of the hash computation.,functional,TODO,Martin,,,,,,Add a check in the SB where this param is used HMAC_MSG_PROCESS_CYCLES_256,
4,blk_1024_word_pack,req_hmac_000E,,"Alternatively for SHA-2 384/512, the SHA-2 engine receives 32x32-bit words from message FIFO, which get packed into 16x64-bit words for the SHA-2 engine","functional, functional","cfg_cg.digest_size.sha2_384, cfg_cg.digest_size.sha2_512",Martin,,,,,,Covered by the C model,
4,blk_1024_rounds,req_hmac_000E,,And then begin the 80 compression rounds.,functional,TODO,Martin,,,,,,Add a check in the SB where this param is used HMAC_MSG_PROCESS_CYCLES_512,
4,sw_access_msg_fifo,req_hmac_000F,,"During the compression rounds, it doesn't fetch data from the message FIFO. The software can push up to 16 (or 32 for SHA-2 384/512) entries to the FIFO for the next hash computation.",functional,wr_msg_during_hash_cg,Martin,,,,,,,
3,hmac_computation,,,https://opentitan.org/book/hw/ip/hmac/doc/theory_of_operation.html#hmac-computation,section_title,,,,,,,,,
4,hmac_first_round,req_hmac_0010,,The first phase of HMAC calculates the SHA-2 hash of the inner secret key concatenated with the actual message to be authenticated.,functional,cfg_cg.hmac_en.enabled,Martin,,,,,,Covered by the C model,
