# Copyright lowRISC contributors (OpenTitan project).,
# Licensed under the Apache License, Version 2.0, see LICENSE for details.
# SPDX-License-Identifier: Apache-2.0
#
# Connectivity of rstmgr resets_o
# Run these checks with:
#  ./util/dvsim/dvsim.py hw/top_darjeeling/formal/chip_conn_cfg.hjson

,NAME,SRC BLOCK,SRC SIGNAL,DEST BLOCK,DEST SIGNAL,,,,,,

# rstmgr resets_o
CONNECTION, RSTMGR_LC_IO_DIV4_D0_UART0_RST_NI, top_darjeeling.u_rstmgr_aon, resets_o.rst_lc_io_div4_n[1], top_darjeeling.u_uart0, rst_ni
CONNECTION, RSTMGR_LC_IO_DIV4_D0_GPIO_RST_NI, top_darjeeling.u_rstmgr_aon, resets_o.rst_lc_io_div4_n[1], top_darjeeling.u_gpio, rst_ni
CONNECTION, RSTMGR_SPI_DEVICE_D0_SPI_DEVICE_RST_NI, top_darjeeling.u_rstmgr_aon, resets_o.rst_spi_device_n[1], top_darjeeling.u_spi_device, rst_ni
CONNECTION, RSTMGR_I2C0_D0_I2C0_RST_NI, top_darjeeling.u_rstmgr_aon, resets_o.rst_i2c0_n[1], top_darjeeling.u_i2c0, rst_ni
CONNECTION, RSTMGR_LC_IO_DIV4_D0_RV_TIMER_RST_NI, top_darjeeling.u_rstmgr_aon, resets_o.rst_lc_io_div4_n[1], top_darjeeling.u_rv_timer, rst_ni
CONNECTION, RSTMGR_LC_IO_DIV4_D0_OTP_CTRL_RST_NI, top_darjeeling.u_rstmgr_aon, resets_o.rst_lc_io_div4_n[1], top_darjeeling.u_otp_ctrl, rst_ni
CONNECTION, RSTMGR_LC_D0_OTP_CTRL_RST_EDN_NI, top_darjeeling.u_rstmgr_aon, resets_o.rst_lc_n[1], top_darjeeling.u_otp_ctrl, rst_edn_ni
CONNECTION, RSTMGR_LC_IO_DIV4_D0_LC_CTRL_RST_NI, top_darjeeling.u_rstmgr_aon, resets_o.rst_lc_io_div4_n[1], top_darjeeling.u_lc_ctrl, rst_ni
CONNECTION, RSTMGR_LC_D0_LC_CTRL_RST_KMAC_NI, top_darjeeling.u_rstmgr_aon, resets_o.rst_lc_n[1], top_darjeeling.u_lc_ctrl, rst_kmac_ni
CONNECTION, RSTMGR_LC_IO_DIV4_D0_ALERT_HANDLER_RST_NI, top_darjeeling.u_rstmgr_aon, resets_o.rst_lc_io_div4_n[1], top_darjeeling.u_alert_handler, rst_ni
CONNECTION, RSTMGR_LC_IO_DIV4_SHADOWED_D0_ALERT_HANDLER_RST_SHADOWED_NI, top_darjeeling.u_rstmgr_aon, resets_o.rst_lc_io_div4_shadowed_n[1], top_darjeeling.u_alert_handler, rst_shadowed_ni
CONNECTION, RSTMGR_LC_D0_ALERT_HANDLER_RST_EDN_NI, top_darjeeling.u_rstmgr_aon, resets_o.rst_lc_n[1], top_darjeeling.u_alert_handler, rst_edn_ni
CONNECTION, RSTMGR_SPI_HOST0_D0_SPI_HOST0_RST_NI, top_darjeeling.u_rstmgr_aon, resets_o.rst_spi_host0_n[1], top_darjeeling.u_spi_host0, rst_ni
CONNECTION, RSTMGR_POR_IO_DIV4_AON_PWRMGR_RST_NI, top_darjeeling.u_rstmgr_aon, resets_o.rst_por_io_div4_n[0], top_darjeeling.u_pwrmgr_aon, rst_ni
CONNECTION, RSTMGR_POR_AON_D0_PWRMGR_RST_MAIN_NI, top_darjeeling.u_rstmgr_aon, resets_o.rst_por_aon_n[1], top_darjeeling.u_pwrmgr_aon, rst_main_ni
CONNECTION, RSTMGR_LC_IO_DIV4_AON_PWRMGR_RST_LC_NI, top_darjeeling.u_rstmgr_aon, resets_o.rst_lc_io_div4_n[0], top_darjeeling.u_pwrmgr_aon, rst_lc_ni
