# Copyright lowRISC contributors (OpenTitan project).
# Licensed under the Apache License, Version 2.0, see LICENSE for details.
# SPDX-License-Identifier: Apache-2.0
#
# Run these checks with:
#  dvsim hw/top_earlgrey/formal/chip_conn_cfg.hjson

,NAME,SRC BLOCK,SRC SIGNAL,DEST BLOCK,DEST SIGNAL,,,,,,

# AST emits the memory configuration (read-write margin / attribute) bits for the single-port,
# dual-port and ROM memories in the chip. These cannot be covered functionally in the open source
# repo, since they are not used by the generic memory models. These signals are excluded from
# coverage collection AFTER they have been added to this checker.
#
#  After the memory-configuration interface was generalized to flat req/rsp vectors, AST no longer
#  exposes the per-technology margin ports (dpram_rm*_o/spram_rm_o/sprgf_rm_o/sprom_rm_o). Instead
#  it drives one request output per physical memory consumer (<consumer>_ram_cfg_req_o /
#  <consumer>_rom_cfg_req_o), which is what these checks now source from.

# Dual port RAM.
# To spi_device (SramType2p: only the sys2spi config port drives the shared 2p macro).
CONNECTION, AST_SPI_DEVICE_RAM_2P_CFG, u_ast, spi_device_sys2spi_ram_cfg_req_o, top_earlgrey.earlgrey_pd_main.u_spi_device.u_spid_dpram.gen_ram2p.u_memory_2p.u_mem, cfg_i

# Single port RAMs.
# To otbn.
CONNECTION, AST_OTBN_IMEM_RAM_1P_CFG, u_ast, otbn_imem_ram_cfg_req_o, top_earlgrey.earlgrey_pd_main.u_otbn.u_imem.u_prim_ram_1p_adv.gen_ram_inst[0].u_mem, cfg_i
CONNECTION, AST_OTBN_DMEM_RAM_1P_CFG, u_ast, otbn_dmem_ram_cfg_req_o, top_earlgrey.earlgrey_pd_main.u_otbn.u_dmem.u_prim_ram_1p_adv.gen_ram_inst[0].u_mem, cfg_i

# To rv_core_ibex (one request output element per I-cache way).
CONNECTION, AST_RV_CORE_IBEX_TAG0_RAM_1P_CFG,  u_ast, rv_core_ibex_icache_tag_ram_cfg_req_o[0], top_earlgrey.earlgrey_pd_main.u_rv_core_ibex.u_core.gen_rams.gen_rams_inner[0].gen_scramble_rams.tag_bank.u_prim_ram_1p_adv.gen_ram_inst[0].u_mem, cfg_i
CONNECTION, AST_RV_CORE_IBEX_TAG1_RAM_1P_CFG,  u_ast, rv_core_ibex_icache_tag_ram_cfg_req_o[1], top_earlgrey.earlgrey_pd_main.u_rv_core_ibex.u_core.gen_rams.gen_rams_inner[1].gen_scramble_rams.tag_bank.u_prim_ram_1p_adv.gen_ram_inst[0].u_mem, cfg_i
CONNECTION, AST_RV_CORE_IBEX_DATA0_RAM_1P_CFG, u_ast, rv_core_ibex_icache_data_ram_cfg_req_o[0], top_earlgrey.earlgrey_pd_main.u_rv_core_ibex.u_core.gen_rams.gen_rams_inner[0].gen_scramble_rams.data_bank.u_prim_ram_1p_adv.gen_ram_inst[0].u_mem, cfg_i
CONNECTION, AST_RV_CORE_IBEX_DATA1_RAM_1P_CFG, u_ast, rv_core_ibex_icache_data_ram_cfg_req_o[1], top_earlgrey.earlgrey_pd_main.u_rv_core_ibex.u_core.gen_rams.gen_rams_inner[1].gen_scramble_rams.data_bank.u_prim_ram_1p_adv.gen_ram_inst[0].u_mem, cfg_i

# To sram_ctrl (main).
CONNECTION, AST_SRAM_MAIN_RAM_1P_CFG, u_ast, sram_ctrl_main_ram_cfg_req_o[0], top_earlgrey.earlgrey_pd_main.u_sram_ctrl_main.u_prim_ram_1p_scr.u_prim_ram_1p_adv.gen_ram_inst[0].u_mem, cfg_i

# To sram_ctrl (ret).
CONNECTION, AST_SRAM_RET_RAM_1P_CFG, u_ast, sram_ctrl_ret_aon_ram_cfg_req_o[0], top_earlgrey.earlgrey_pd_aon.u_sram_ctrl_ret_aon.u_prim_ram_1p_scr.u_prim_ram_1p_adv.gen_ram_inst[0].u_mem, cfg_i

# To rom.
CONNECTION, AST_ROM_CFG, u_ast, rom_ctrl_rom_cfg_req_o, top_earlgrey.earlgrey_pd_main.u_rom_ctrl.gen_rom_scramble_enabled.u_rom.u_rom.u_prim_rom, cfg_i

# To usbdev.
CONNECTION, AST_USBDEV_RAM_1P_CFG, u_ast, usbdev_ram_cfg_req_o, top_earlgrey.earlgrey_pd_main.u_usbdev.gen_no_stubbed_memory.u_memory_1p.gen_ram_inst[0].u_mem, cfg_i
