# Copyright lowRISC contributors (OpenTitan project).
# Licensed under the Apache License, Version 2.0, see LICENSE for details.
# SPDX-License-Identifier: Apache-2.0
#
# Run these checks with:
#  dvsim hw/top_earlgrey/formal/chip_conn_cfg.hjson

,NAME,SRC BLOCK,SRC SIGNAL,DEST BLOCK,DEST SIGNAL,,,,,,

# Verify that lc_ctrl's lc_escalate_en_o signal is correctly connected to IPs.
CONNECTION, LC_ESCALATE_EN_OTP,       top_earlgrey.earlgrey_pd_main.u_lc_ctrl, lc_escalate_en_o, top_earlgrey.earlgrey_pd_main.u_otp_ctrl,          lc_escalate_en_i
CONNECTION, LC_ESCALATE_EN_AON_TIMER, top_earlgrey.earlgrey_pd_main.u_lc_ctrl, lc_escalate_en_o, top_earlgrey.earlgrey_pd_aon.u_aon_timer,     lc_escalate_en_i
CONNECTION, LC_ESCALATE_EN_SRAM_MAIN, top_earlgrey.earlgrey_pd_main.u_lc_ctrl, lc_escalate_en_o, top_earlgrey.earlgrey_pd_main.u_sram_ctrl_main,    lc_escalate_en_i
CONNECTION, LC_ESCALATE_EN_SRAM_RET,  top_earlgrey.earlgrey_pd_main.u_lc_ctrl, lc_escalate_en_o, top_earlgrey.earlgrey_pd_aon.u_sram_ctrl_ret, lc_escalate_en_i
CONNECTION, LC_ESCALATE_EN_AES,       top_earlgrey.earlgrey_pd_main.u_lc_ctrl, lc_escalate_en_o, top_earlgrey.earlgrey_pd_main.u_aes,               lc_escalate_en_i
CONNECTION, LC_ESCALATE_EN_KMAC,      top_earlgrey.earlgrey_pd_main.u_lc_ctrl, lc_escalate_en_o, top_earlgrey.earlgrey_pd_main.u_kmac,              lc_escalate_en_i
CONNECTION, LC_ESCALATE_EN_OTBN,      top_earlgrey.earlgrey_pd_main.u_lc_ctrl, lc_escalate_en_o, top_earlgrey.earlgrey_pd_main.u_otbn,              lc_escalate_en_i

# Verify that lc_ctrl's keymanager enable signal and diversification value are correctly connected to the keymgr.
CONNECTION, LC_KEYMGR_EN_KEYMGR, top_earlgrey.earlgrey_pd_main.u_lc_ctrl,  lc_keymgr_en_o,  top_earlgrey.earlgrey_pd_main.u_keymgr_dpe, lc_keymgr_en_i
CONNECTION, LC_KEYMGR_DIV_KEYMGR, top_earlgrey.earlgrey_pd_main.u_lc_ctrl, lc_keymgr_div_o, top_earlgrey.earlgrey_pd_main.u_keymgr_dpe, lc_keymgr_div_i


# Verify that the lc_ctrl's lc_cpu_en_o signal is correctly connected to rv_core_ibex.
CONNECTION, LC_CPU_EN_RV_CORE_IBEX, top_earlgrey.earlgrey_pd_main.u_lc_ctrl, lc_cpu_en_o, top_earlgrey.earlgrey_pd_main.u_rv_core_ibex, lc_cpu_en_i

# Verify that lc_ctrl's lc_hw_debug_en_o signal is correctly connected to IPs.
CONNECTION, LC_HW_DEBUG_EN_PWRMGR,         top_earlgrey.earlgrey_pd_main.u_lc_ctrl, lc_hw_debug_en_o, top_earlgrey.earlgrey_pd_aon.u_pwrmgr,        lc_hw_debug_en_i
CONNECTION, LC_HW_DEBUG_EN_CLKMGR,         top_earlgrey.earlgrey_pd_main.u_lc_ctrl, lc_hw_debug_en_o, top_earlgrey.earlgrey_pd_aon.u_clkmgr,        lc_hw_debug_en_i
CONNECTION, LC_HW_DEBUG_EN_PINMUX,         top_earlgrey.earlgrey_pd_main.u_lc_ctrl, lc_hw_debug_en_o, top_earlgrey.earlgrey_pd_main.u_pinmux,        lc_hw_debug_en_i
CONNECTION, LC_HW_DEBUG_EN_SRAM_CTRL_MAIN, top_earlgrey.earlgrey_pd_main.u_lc_ctrl, lc_hw_debug_en_o, top_earlgrey.earlgrey_pd_main.u_sram_ctrl_main,    lc_hw_debug_en_i
CONNECTION, LC_HW_DEBUG_EN_RV_DM,          top_earlgrey.earlgrey_pd_main.u_lc_ctrl, lc_hw_debug_en_o, top_earlgrey.earlgrey_pd_main.u_rv_dm,             lc_hw_debug_en_i
CONNECTION, LC_HW_DEBUG_EN_CSRNG,          top_earlgrey.earlgrey_pd_main.u_lc_ctrl, lc_hw_debug_en_o, top_earlgrey.earlgrey_pd_main.u_csrng,             lc_hw_debug_en_i

# Verify that lc_ctrl's lc_dft_en_o signal is correctly connected to IPs.
CONNECTION, LC_DFT_EN_OTP,    top_earlgrey.earlgrey_pd_main.u_lc_ctrl, lc_dft_en_o, top_earlgrey.earlgrey_pd_main.u_otp_macro,  lc_dft_en_i
CONNECTION, LC_DFT_EN_PWRMGR, top_earlgrey.earlgrey_pd_main.u_lc_ctrl, lc_dft_en_o, top_earlgrey.earlgrey_pd_aon.u_pwrmgr, lc_dft_en_i
CONNECTION, LC_DFT_EN_PINMUX, top_earlgrey.earlgrey_pd_main.u_lc_ctrl, lc_dft_en_o, top_earlgrey.earlgrey_pd_main.u_pinmux, lc_dft_en_i
CONNECTION, LC_DFT_EN_AST,    top_earlgrey.earlgrey_pd_main.u_lc_ctrl, lc_dft_en_o, u_ast,                     lc_dft_en_i

# Verify lc_ctrl's RMA request connections.
